"","Partido","agrotox","cartvdam","cons_mp","conv_interam_rac","correios","div_fundpart","dsil","eletrobras","fundeb_igrej","grilagem","imp_renda","improb_base","improb_dolo","improb_nep","ind.BC","jogazar","lib_san_bas","lic_amb","mineracao_votourg","minireftrab","pec.emg","posse_armas","precatorios","proib_desp_pand","refprev","sisteleit","sisteleit_col","sisteleit_dist","telecom","vot_imp"
"141401","MDB","Não","Sim","Sim","Sim",NA,NA,"Sim",NA,"Sim",NA,NA,NA,NA,NA,"Sim","Sim",NA,NA,NA,NA,"Sim","Sim",NA,NA,"Sim",NA,NA,NA,NA,NA
"74075","MDB","Não","Sim","Sim","Sim","Não","Sim","Sim","Não","Sim",NA,"Não","Sim","Sim","Não","Sim","Sim",NA,"Sim","Não",NA,"Sim",NA,NA,"Sim","Sim","Sim",NA,NA,"Sim",NA
"74749","MDB","Sim",NA,"Sim","Sim",NA,NA,"Sim","Sim","Sim",NA,NA,"Sim","Sim","Não","Sim","Sim","Não","Não","Sim",NA,"Sim","Sim",NA,"Sim","Sim",NA,NA,NA,"Sim",NA
"73772","MDB","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Não","Sim","Sim","Sim","Não","Sim","Não","Sim","Não","Não","Sim","Sim","Sim","Sim","Não","Sim",NA
"74079","MDB",NA,"Sim",NA,NA,NA,NA,"Sim",NA,"Sim",NA,"Sim",NA,NA,NA,"Sim","Sim",NA,NA,"Sim",NA,"Sim","Sim",NA,NA,"Sim","Sim","Sim",NA,NA,"Não"
"141427","MDB","Não","Sim","Sim",NA,NA,NA,"Sim","Sim","Sim","Sim","Não","Não","Sim","Não","Não","Sim","Sim","Sim","Não","Sim","Sim",NA,"Sim","Sim","Sim","Sim","Sim","Não","Sim",NA
"141434","MDB","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Não","Sim","Sim","Sim","Sim","Não","Sim","Sim","Sim",NA,"Sim","Sim","Sim","Não","Não","Sim",NA
"141523","MDB","Não","Sim","Não","Sim","Sim","Sim","Sim","Não","Sim","Não","Não","Sim","Sim","Não","Sim","Sim","Sim","Não","Não","Sim","Sim","Sim","Não","Sim","Sim","Sim","Sim","Não","Sim","Não"
"73692","MDB","Sim","Sim","Não",NA,"Sim","Não","Não","Sim",NA,"Sim","Sim","Sim","Sim","Sim","Sim","Não",NA,"Sim","Sim","Sim","Sim",NA,"Sim","Não",NA,"Sim","Não","Não","Sim","Sim"
"141405","MDB","Sim","Sim","Não","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Não","Sim","Não",NA,"Sim","Sim",NA,"Sim","Sim","Sim","Sim","Sim","Não",NA,"Sim","Não","Não","Não","Sim","Sim"
